WKT,ID,Produkt,Teilprodukt,Name,Plz,Strname,Hsnr,Rechtswert,Hochwert
"POINT (3403594 5759846)",399,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Wartburgschule,48149,Von-Esmarch-Straße,15,3403594,5759846
"POINT (3411946 5754161)",400,Turn- und Sporthallen,Zweifachhalle,Schulzentrum Wolbeck,48167,Von-Holte-Straße,56,3411946,5754161
"POINT (3411946 5754161)",401,Turn- und Sporthallen,Dreifachhallen,Schulzentrum Wolbeck,48167,Von-Holte-Straße,56,3411946,5754161
"POINT (3411946 5754161)",402,Sportaußenanlagen an Schulen,Schulzentren,Sportfläche Schulzetnrum Wolbeck,48167,Von-Holte-Straße,56,3411946,5754161
"POINT (3404181 5763628)",403,Turn- und Sporthallen,Dreifachhallen,Schulzentrum Kinderhaus,48159,Von-Humboldt-Straße,14,3404181,5763628
"POINT (3404181 5763628)",404,Turn- und Sporthallen,Zweifachhalle,Schulzentrum Kinderhaus,48159,Von-Humboldt-Straße,14,3404181,5763628
"POINT (3405113 5763493)",405,Bezirkssportanlage,überlassen,Sportanlage Wangeroogeweg,48159,Wangeroogeweg,18,3405113,5763493
"POINT (3405113 5763493)",406,Sondersportanlagen,Bouleanlagen,Sportanlage Wangeroogeweg,48159,Wangeroogeweg,18,3405113,5763493
"POINT (3405113 5763493)",407,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Wangeroogeweg,48159,Wangeroogeweg,18,3405113,5763493
"POINT (3406490 5752730)",408,Turn- und Sporthallen,Zweifachhalle,Schulzentrum Hiltrup,48165,Westfalenstraße,201,3406490,5752730
"POINT (3406490 5752730)",409,Turn- und Sporthallen,Dreifachhallen,Schulzentrum Hiltrup,48165,Westfalenstraße,201,3406490,5752730
"POINT (3406510 5752347)",410,Bezirkssportanlage,nicht überlassen,Sportanlage Hiltrup-Süd,48165,Westfalenstraße,240,3406510,5752347
"POINT (3402174 5752082)",411,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Grundschule Lövelingloh,48163,Wiedaustraße,114,3402174,5752082
"POINT (3405514 5761089)",412,Turn- und Sporthallen,Einfachhallen,Abendgymnasium,48147,Wienburgstraße,52,3405514,5761089
"POINT (3404182 5751020)",413,Turn- und Sporthallen,Einfachhallen,Davertschule Amelsbüren,48163,Zum Häpper,10,3404182,5751020
"POINT (3404182 5751020)",414,Turn- und Sporthallen,Gymnastikräume,Davertschule Amelsbüren,48163,Zum Häpper,10,3404182,5751020
"POINT (3404388 5751146)",415,Bezirkssportanlage,überlassen,Sportanlage Zum Häpper,48163,Zum Häpper,24,3404388,5751146
"POINT (3404388 5751146)",416,Sondersportanlagen,Bouleanlagen,Sportanlage Zum Häpper,48163,Zum Häpper,24,3404388,5751146
"POINT (3404388 5751146)",417,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Amelsbüren,48163,Zum Häpper,24,3404388,5751146
"POINT (3407608 5751422)",418,Sondersportanlagen,Beachvolleyballanlagen,Freibad Hiltrup,48165,Zum Hiltruper See,171,3407608,5751422
"POINT (3401616 5759945)",419,,,Sportanlage Gievenbecker Reihe,48161,Diekmannstraße/ Gievenbecker Reihe,,3401616,5759945
"POINT (3401616 5759945)",420,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Gievenbecker Reihe,48161,Diekmannstraße/ Gievenbecker Reihe,,3401616,5759945
"POINT (3405399 5761595)",421,,,Sportanlage Wienburgstraße,48163,Wienburgstraße,141,3405399,5761595
"POINT (3404587 5763917)",422,,,Sportzentrum Kinderhaus,48159,Große Wiese,30,3404587,5763917
"POINT (3404587 5763917)",423,Sondersportanlage,Trimmanlagen,Sportzentrum Kinderhaus,48159,Große Wiese,30,3404587,5763917
"POINT (3404587 5763917)",424,Sondersportanlage,Speckbrettanlagen,Sportzentrum Kinderhaus,48159,Große Wiese,30,3404587,5763917
"POINT (3405832 5756388)",425,,,Sportanlage Robert-Bosch-Straße,48153,Robert-Bosch-Straße,,3405832,5756388
"POINT (3410740 5763710)",426,Sondersportanlagen,Bouleanlagen,,48157,Dyckburgstraße,468,3410740,5763710
"POINT (3398945 5755412)",427,Sondersportanlagen,Speckbrettanlagen,Sportanlage Concordenstraße,48163,Hohe Geist,7,3398945,5755412
